country,country_code,continent
AFGHANISTAN,AFG,Asia
ALBANIA,ALB,Europe
ALGERIA,DZA,Africa
ANDORRA,AND,Europe
ANGOLA,AGO,Africa
ARGENTINA,ARG,South America
ARMENIA,ARM,Asia
AUSTRALIA,AUS,Oceania
AUSTRIA,AUT,Europe
AZERBAIJAN,AZE,Asia
BAHRAIN,BHR,Asia
BANGLADESH,BGD,Asia
BELARUS,BLR,Europe
BELGIUM,BEL,Europe
BELIZE,BLZ,North America
BENIN,BEN,Africa
BHUTAN,BTN,Asia
BOLIVIA,BOL,South America
BOSNIA AND HERZEGOVINA,BIH,Europe
BOTSWANA,BWA,Africa
BRAZIL,BRA,South America
BRUNEI,BRN,Asia
BULGARIA,BGR,Europe
BURKINA FASO,BFA,Africa
BURUNDI,BDI,Africa
CAMBODIA,KHM,Asia
CAMEROON,CMR,Africa
CANADA,CAN,North America
CANARIAS,CNR,Africa
CASPIAN SEA,CSP,Asia
CENTRAL AFRICAN REPUBLIC,CAF,Africa
CHAD,TCD,Africa
CHILE,CHL,South America
CHINA,CHN,Asia
COLOMBIA,COL,South America
CONGO,COG,Africa
"CONGO,THE DEMOCRATIC REPUBLIC OF THE",COD,Africa
COSTA RICA,CRI,North America
COTE D’IVOIRE,CIV,Africa
CROATIA,HRV,Europe
CUBA,CUB,North America
CYPRUS,CYP,Asia
CZECH REPUBLIC,CZE,Europe
DENMARK,DNK,Europe
DJIBOUTI,DJI,Africa
DOMINICAN REPUBLIC,DOM,North America
EAST TIMOR,TLS,Asia
ECUADOR,ECU,South America
EGYPT,EGY,Africa
EL SALVADOR,SLV,North America
EQUATORIAL GUINEA,GNQ,Africa
ERITREA,ERI,Africa
ESTONIA,EST,Europe
ETHIOPIA,ETH,Africa
FAROE ISLANDS,FRO,Europe
FIJI,FJI,Oceania
FINLAND,FIN,Europe
FRANCE,FRA,Europe
FRENCH GUIANA,GUF,South America
GABON,GAB,Africa
GAMBIA,GMB,Africa
GEORGIA,GEO,Asia
GERMANY,DEU,Europe
GHANA,GHA,Africa
GIBRALTAR,GIB,Europe
GREECE,GRC,Europe
GUADELOUPE,GLP,North America
GUATEMALA,GTM,North America
GUINEA,GIN,Africa
GUINEA-BISSAU,GNB,Africa
GUYANA,GUY,South America
HAITI,HTI,North America
HONDURAS,HND,North America
HUNGARY,HUN,Europe
ICELAND,ISL,Europe
INDIA,IND,Asia
INDONESIA,IDN,Asia
IRAN,IRN,Asia
IRAQ,IRQ,Asia
IRELAND,IRL,Europe
ISRAEL,ISR,Asia
ITALY,ITA,Europe
JAPAN,JPN,Asia
JORDAN,JOR,Asia
KAZAKHSTAN,KAZ,Asia
KENYA,KEN,Africa
"KOREA, REPUBLIC OF",KOR,Asia
"KOREA,DEMOCRATIC PEOPLE'S REPUBLIC OF",PRK,Asia
KUWAIT,KWT,Asia
KYRGYZSTAN,KGZ,Asia
LAOS,LAO,Asia
LATVIA,LVA,Europe
LEBANON,LBN,Asia
LESOTHO,LSO,Africa
LIBERIA,LBR,Africa
LIBYA,LBY,Africa
LITHUANIA,LTU,Europe
LUXEMBOURG,LUX,Europe
"MACEDONIA,THE FORMER YUGOSLAV REPUBLIC OF",MKD,Europe
MADAGASCAR,MDG,Africa
MADEIRA,MDR,Europe
MALAWI,MWI,Africa
MALAYSIA,MYS,Asia
MALI,MLI,Africa
MALTA,MLT,Europe
MARTINIQUE,MTQ,North America
MAURITANIA,MRT,Africa
MEXICO,MEX,North America
"MICRONESIA,FEDERATED STATES OF",FSM,Oceania
MOLDOVA,MDA,Europe
MONGOLIA,MNG,Asia
MONTENEGRO,MNE,Europe
MOROCCO,MAR,Africa
MOZAMBIQUE,MOZ,Africa
MYANMAR,MMR,Asia
NAMIBIA,NAM,Africa
NEPAL,NPL,Asia
NETHERLANDS,NLD,Europe
NEW CALEDONIA,NCL,Oceania
NEW ZEALAND,NZL,Oceania
NICARAGUA,NIC,North America
NIGER,NER,Africa
NIGERIA,NGA,Africa
NORWAY,NOR,Europe
OMAN,OMN,Asia
PAKISTAN,PAK,Asia
PANAMA,PAN,North America
PAPUA NEW GUINEA,PNG,Oceania
PARAGUAY,PRY,South America
PERU,PER,South America
PHILIPPINES,PHL,Asia
POLAND,POL,Europe
PORTUGAL,PRT,Europe
QATAR,QAT,Asia
REUNION,REU,Africa
ROMANIA,ROU,Europe
RUSSIAN FEDERATION,RUS,Europe
RWANDA,RWA,Africa
SAN MARINO,SMR,Europe
SAO TOME AND PRINCIPE,STP,Africa
SAUDI ARABIA,SAU,Asia
SENEGAL,SEN,Africa
SERBIA,SRB,Europe
SIERRA LEONE,SLE,Africa
SINGAPORE,SGP,Asia
SLOVAKIA,SVK,Europe
SLOVENIA,SVN,Europe
SOLOMON ISLANDS,SLB,Oceania
SOMALIA,SOM,Africa
SOUTH AFRICA,ZAF,Africa
SOUTH SUDAN,SSD,Africa
SPAIN,ESP,Europe
SRILANKA,LKA,Asia
SUDAN,SDN,Africa
SURINAME,SUR,South America
SWAZILAND,SWZ,Africa
SWEDEN,SWE,Europe
SWITZERLAND,CHE,Europe
SYRIAN ARAB REPUBLIC,SYR,Asia
TAJIKISTAN,TJK,Asia
TANZANIA,TZA,Africa
THAILAND,THA,Asia
TOGO,TGO,Africa
TUNISIA,TUN,Africa
TURKEY,TUR,Asia
TURKMENISTAN,TKM,Asia
UGANDA,UGA,Africa
UKRAINE,UKR,Europe
UNITED ARAB EMIRATES,ARE,Asia
UNITED KINGDOM,GBR,Europe
UNITED STATES,USA,North America
URUGUAY,URY,South America
UZBEKISTAN,UZB,Asia
VANUATU,VUT,Oceania
VENEZUELA,VEN,South America
VIET NAM,VNM,Asia
"VIRGIN ISLANDS,BRITISH",VGB,North America
"VIRGIN ISLANDS,U.S.",VIR,North America
WESTERN SAHARA,ESH,Africa
YEMEN,YEM,Asia
ZAMBIA,ZMB,Africa
ZIMBABWE,ZWE,Africa
